ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements
#country+code,#country+name,#date+year,#date+start,#description,#crisis+category,#crisis+type,#affected+idps+ind+newdisp+disaster
COL,Colombia,2008,2008-04-14,,Geophysical,Volcanic eruption,13000
COL,Colombia,2008,2008-12-13,,Weather related,Flood,20000
COL,Colombia,2008,2008-09-15,,Weather related,Flood,10100
COL,Colombia,2008,2008-11-20,,Geophysical,Volcanic eruption,12000
COL,Colombia,2008,2008-01-17,,Geophysical,Volcanic eruption,8000
COL,Colombia,2009,2009-01-01,,Weather related,Flood,
COL,Colombia,2009,2009-01-01,,Weather related,Wet mass movement,593
COL,Colombia,2009,2009-01-01,,Weather related,Wet mass movement,
COL,Colombia,2009,2009-01-01,Galeras Volcano,Geophysical,Volcanic eruption,8500
COL,Colombia,2010,2010-01-01,,Weather related,Flood,
COL,Colombia,2010,2010-01-01,,Weather related,Flood,1500000
COL,Colombia,2010,2010-01-01,,Weather related,Flood,1500000
COL,Colombia,2010,2010-01-01,,Weather related,Wet mass movement,
COL,Colombia,2010,2010-01-01,,Weather related,Wet mass movement,
COL,Colombia,2010,2010-01-01,,Weather related,Wildfire,
COL,Colombia,2011,2011-01-01,,Weather related,Flood,69000
COL,Colombia,2011,2011-01-01,,Weather related,Wet mass movement,
COL,Colombia,2011,2011-01-01,,Weather related,Flood,80000
COL,Colombia,2012,2012-01-01,,Weather related,Flood,
COL,Colombia,2012,2012-01-01,,Geophysical,Volcanic eruption,7200
COL,Colombia,2012,2012-01-01,,Weather related,Flood,
COL,Colombia,2012,2012-01-01,,Weather related,Flood,
COL,Colombia,2012,2012-01-01,,Weather related,Flood,4000
COL,Colombia,2012,2012-01-01,,Weather related,Flood,60000
COL,Colombia,2013,2013-03-25,Sucre landslide,Weather related,Wet mass movement,136
COL,Colombia,2013,2013-05-16,Carmen del Darien flood,Weather related,Flood,37
COL,Colombia,2013,2013-11-18,Agrado flood,Weather related,Flood,40
COL,Colombia,2013,2013-10-02,Barranquabermeja flood,Weather related,Flood,11
COL,Colombia,2013,2013-11-26,Caucasia flood,Weather related,Flood,3
COL,Colombia,2013,2013-07-30,El Tambo gale,Weather related,Storm,185
COL,Colombia,2013,2013-08-15,El Carmen de Atrato gale,Weather related,Storm,37
COL,Colombia,2013,2013-07-18,Guayabetal landslide,Weather related,Wet mass movement,25
COL,Colombia,2013,2013-07-17,Medio Atrato Wildfire,Weather related,Wildfire,3
COL,Colombia,2013,2013-08-07,Pensilvania gale,Weather related,Storm,18
COL,Colombia,2013,2013-09-02,Suarez gale,Weather related,Storm,3
